Winner,Welo,Belo,turncount,PawnAdv10,KnightAdv10,BishopAdv10,RookAdv10,QueenAdv10,PawnAdv20,KnightAdv20,BishopAdv20,RookAdv20,QueenAdv20,PawnAdv30,KnightAdv30,BishopAdv30,RookAdv30,QueenAdv30,PawnAdv,KnightAdv,BishopAdv,RookAdv,QueenAdv,nool
B,2838,2802,104,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-42,2,3,0,-3,
W,2838,2629,99,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-32,-12,9,3,0,
D,2838,2531,95,0,0,0,0,0,0,3,-3,0,0,0,3,-3,0,0,-25,14,-26,25,0,
W,2838,0,79,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-8,0,1,0,0,
D,2838,2677,50,-1,0,0,0,0,-1,1,0,0,0,-1,-2,2,0,0,0,-6,8,0,0,
D,2838,2688,55,3,0,0,0,0,3,0,0,0,0,4,-1,0,0,0,4,-1,-1,2,0,
W,2838,0,59,1,0,0,0,0,3,4,-3,0,0,13,7,-5,0,0,31,7,-4,12,0,
W,2838,2349,85,0,-1,0,0,0,0,-11,10,0,0,-1,-21,20,0,0,25,-24,34,1,0,
D,2838,2698,146,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,58,12,4,-12,0,
W,2838,0,55,1,0,0,0,0,1,0,0,0,0,-9,5,10,-7,0,-34,16,50,-31,0,
W,2838,2802,61,-1,0,0,0,0,-8,0,0,0,0,-21,0,0,0,0,-37,12,-14,-29,15,
D,2838,2802,104,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,44,-2,4,-2,0,
W,2838,0,55,1,0,0,0,0,1,0,0,0,0,3,4,-3,0,0,22,19,-19,0,0,
D,2838,2802,83,0,-1,0,0,0,0,-11,10,0,0,0,-21,20,0,0,-19,-67,66,-2,0,
W,2838,2677,101,0,4,-3,0,0,-4,14,-13,0,0,-14,24,-23,0,0,78,70,-65,12,-13,
W,2838,0,47,-1,0,0,0,0,-2,0,0,0,0,-3,2,-1,0,0,-19,19,0,0,0,
W,2838,0,61,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-66,-7,25,-1,0,
W,2838,2704,139,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,-1,9,-30,31,-1,-1,
W,2838,2572,89,3,0,0,0,0,3,0,0,0,0,4,-1,0,0,0,-27,18,-21,-5,3,
W,2838,0,55,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,-13,13,0,1,
D,2838,2715,51,0,0,0,0,0,-1,0,0,0,0,-1,8,-7,0,0,-19,20,-19,0,-1,
W,2838,2588,122,3,0,0,0,0,4,0,0,0,0,4,-3,0,1,0,12,-82,77,0,-1,
